title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Lumber Jack-Rabbit,1954, Mel Blanc, Norman Nesbitt,NA, Chuck Jones, Michael Maltese, Edward Selzer,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
What Ever Happened to Baby Jane?,1991, Vanessa Redgrave, Lynn Redgrave,NA, David Greene,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Life in a Day,2011, Cindy Baer, Moica, Caryn Waechter, Kevin Macdonald, Liza Marshall, Harry Gregson-Williams,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,
The Eighteen Carat Virgin,1972, Nicole Vadim,NA,NA, Emilio Portici, Joseph P. Mawra, Emilio Portici,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
My Little Pony: Twinkle Wish Adventure,2009, Janyse Jaud, Anna Cummer, Chantal Strand, Sherri Stoner, Luke Guidici, John Grusd, Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Sweet Savior,1971, Troy Donahue, Renay Granville, Francine Middleton, Robert L. Roberts, Lloyd Kaufman,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vampires Suck,2010, Chris Riggi, Matt Lanter, Jenn Proske, Jason Friedberg, Aaron Seltzer, Jason Friedberg,Horror,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Janis Joplin: Piece Of My Heart,2009, Janis Joplin,NA,NA,NA,NA,NA, Music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gang Master,1982, Chen Kuan-Tai, Jason Pai Piao, Ku Feng, Tsui Siu-Ming, Tsui Siu-Ming, Mona Fong,Foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
The Dark Backward,1991, Judd Nelson, Bill Paxton, Rob Lowe, Adam Rifkin, Adam Rifkin,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Wall Street Mystery,1931, Donald Meek, John Hamilton, Frances Dale, Arthur Hurley,NA,NA,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ela Na Agapithoume Darling,1984, Stathis Psaltis, Stamatis Gardelis, Kaiti Finou, Giannis Dalianidis, Giannis Dalianidis,NA, Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
State Fair,1945, Jeanne Crain, Dana Andrews, Dick Haymes, Walter Lang,NA,NA,Romance,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hobgoblins 2,2009, Josh Mills, Josh Green, Chanel Ryan, Rick Sloane, Rick Sloane, Rick Sloane,ScienceFiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
One Man Band,2005,NA,NA,NA, Mark Andrews, Andrew Jimenez, Andrew Jimenez,Family,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
